axisX,axisY,axisZ
0.830635,0.811713,-3.932742
0.827819,0.81087,-3.902662
0.818398,0.810372,-3.859125
0.794186,0.813466,-3.817708
0.774868,0.812229,-3.766831
0.787639,0.810204,-3.723747
0.757049,0.810145,-3.671628
0.765107,0.80868,-3.631503
0.792341,0.806128,-3.585404
0.790247,0.805134,-3.549106
0.788925,0.80394,-3.506064
0.782925,0.803083,-3.472863
0.802575,0.800942,-3.442237
0.804574,0.800035,-3.422728
0.812038,0.797907,-3.39714
0.825568,0.794756,-3.384798
0.849495,0.789279,-3.369254
0.878751,0.773928,-3.348927
0.894949,0.761487,-3.330512
0.901655,0.753583,-3.305033
0.908562,0.741676,-3.28359
0.914433,0.730813,-3.258906
0.91919,0.722022,-3.237959
0.926658,0.708052,-3.218151
0.933479,0.692756,-3.209966
0.91539,0.649083,-3.1976
0.921389,0.630163,-3.19652
0.922575,0.626625,-3.184746
0.92305,0.624263,-3.174146
0.92489,0.614483,-3.164147
0.926652,0.605086,-3.15607
0.927277,0.599281,-3.153754
0.92676,0.588846,-3.155656
0.926366,0.581401,-3.159851
0.926167,0.577955,-3.163684
0.92623,0.577395,-3.153728
0.926655,0.584231,-3.14287
0.926153,0.608618,-3.116364
0.924691,0.617281,-3.081218
0.92383,0.622956,-3.032776
0.923711,0.625344,-2.948682
0.92503,0.60832,-2.867174
0.95212,0.60735,-2.781908
0.955792,0.586247,-2.724335
0.956595,0.571989,-2.701365
0.956416,0.573261,-2.70633
0.955553,0.591062,-2.731219
0.95242,0.612616,-2.755784
0.947546,0.644088,-2.799198
0.944343,0.68104,-2.844621
0.926213,0.709886,-2.895658
0.912221,0.733722,-2.931357
0.895145,0.753704,-2.969281
0.881569,0.765192,-2.993825
0.86867,0.776092,-3.016158
0.84874,0.784656,-3.036978
0.84855,0.807178,-3.054504
0.868528,0.839612,-3.071119
0.831807,0.833035,-3.070306
0.829854,0.844857,-3.081526
0.827205,0.861242,-3.102199
0.834409,0.883517,-3.120683
0.835708,0.902873,-3.140988
0.841366,0.917037,-3.168797
0.841223,0.922867,-3.182657
0.873614,0.925021,-3.205321
0.866183,0.926005,-3.20891
0.834022,0.917587,-3.205123
0.840765,0.909945,-3.206463
0.875006,0.91609,-3.210754
0.900221,0.920235,-3.213118
0.884261,0.902222,-3.212705
0.854895,0.877432,-3.210281
0.826042,0.854564,-3.208847
0.818471,0.850372,-3.208268
0.829629,0.856629,-3.209112
0.849638,0.86578,-3.210858
0.876523,0.877015,-3.213322
0.8997,0.885293,-3.215673
0.918624,0.888225,-3.21806
0.938523,0.88689,-3.2208
0.93657,0.882709,-3.220997
0.921935,0.882749,-3.218967
0.910828,0.881456,-3.217574
0.904997,0.885914,-3.216351
0.89826,0.894104,-3.215029
0.911292,0.913025,-3.215852
0.914416,0.915313,-3.216098
0.907626,0.912268,-3.215441
0.873327,0.894304,-3.211676
0.811414,0.861055,-3.206095
0.08575,0.539879,-3.088403
0.094512,0.563207,-3.163699
0.097645,0.578057,-3.246597
-0.534207,0.283149,-3.415837
-0.53029,0.307994,-3.580596
-0.125149,0.540118,-3.785171
0.271058,0.753055,-3.888214
0.501779,0.874872,-3.977267
0.555558,0.923178,-4.096451
0.548199,0.939642,-4.139177
0.540415,0.958566,-4.191916
0.534514,0.973478,-4.231181
0.481335,0.97154,-4.287772
0.449781,0.97774,-4.323897
0.42077,0.982296,-4.358778
0.357103,0.972547,-4.39649
0.300945,0.965736,-4.431001
0.30335,0.974217,-4.438126
0.311119,0.976412,-4.446681
0.319923,0.975016,-4.45415
0.335114,0.969715,-4.459722
0.370894,0.966565,-4.458445
0.404403,0.966692,-4.455507
0.430792,0.959055,-4.455115
0.449446,0.950854,-4.455047
0.46533,0.938886,-4.453586
0.471236,0.932173,-4.460537
0.478185,0.920487,-4.472826
0.484005,0.910124,-4.483632
0.487033,0.900804,-4.500341
0.491204,0.891061,-4.512135
0.495967,0.879076,-4.528723
0.499968,0.869301,-4.541592
0.502985,0.85799,-4.565587
0.505118,0.852617,-4.581575
